Name,Start price,Price,CMGR[$] 3mo,Cum. ROI,Avg. Mkt. Cap,Mkt. Cap,24h Vol,Avg. volume,Age (mo),Winning months,ATH,% fm. ATH,ATH (BTC),% fm. ATH (BTC)
QuarkChain,0.2329,0.0234,- 12.66,- 87.07,N/A,26.62 MM,16.75 MM,16995214,8,8.00,0.2034,-88.48,0.00003005,-90.15
Hyperion,0.0322,0.0824,- 7.10,- 18.83,N/A,26.09 MM,1.40 MM,637797,1,0.00,0.0824,0.00,0.00001040,0.00
Aragon,1.49,0.8368,- 22.43,- 75.59,N/A,25.66 MM,57.23 K,97287,21,17.00,7.51,-88.85,0.0014,-92.69
MediBloc [ERC20],0.0133,0.0077,- 26.10,- 79.01,N/A,25.44 MM,30.88 MM,2370872,8,25.00,0.0166,-53.64,0.00000253,-61.66
ILCoin,0.0472,0.0855,8.31,- 61.45,N/A,25.43 MM,1.56 MM,60951,2,8.00,0.2329,-63.27,0.00005732,-81.16
Gold Bits Coin,0.2130,0.2367,15.47,- 9.96,N/A,25.09 MM,42.43 K,14286,6,33.00,0.7796,-69.63,0.0001,-74.45
Cindicator,0.0200,0.0173,- 25.39,- 48.69,N/A,25.05 MM,970.55 K,429451,16,42.00,0.3319,-94.78,0.00002982,-92.65
SingularityNET,0.5393,0.0464,- 18.36,- 92.69,N/A,25.02 MM,3.62 MM,451047,13,25.00,1.07,-95.65,0.00008971,-93.48
Quantum Resistant Ledger,0.7345,0.3678,- 27.12,- 75.77,N/A,25.02 MM,137.49 K,54994,20,8.00,3.36,-89.04,0.0005,-91.20
Robotina,0.0176,0.0865,- 26.57,- 21.58,N/A,24.83 MM,124.12 K,18656,5,17.00,0.0865,0.00,0.00001092,0.00
Iconomi,0.1989,0.2480,- 38.17,- 57.52,N/A,24.54 MM,1.26 K,1327,28,8.00,5.26,-95.28,0.0020,-98.41
