Name,Start price,Price,CMGR[$] 3mo,Cum. ROI,Avg. Mkt. Cap,Mkt. Cap,24h Vol,Age (mo),Winning months,Avg. volume,ATH,% fm. ATH,ATH (BTC),% fm. ATH (BTC)
Vertcoin,0.0729,0.2197,- 6.41,221.28,13478934,11.52 MM,650.95 K,521083,70,33.00,9.97,-97.80,0.0071,-99.58
Safe,1.99,0.5504,- 31.62,- 76.41,11147174,11.47 MM,81.60 K,80846,7,8.00,2.89,-80.97,0.0003,-77.70
Telcoin,0.0047,0.0003,- 16.50,- 93.88,13420529,11.37 MM,107.51 K,147633,23,33.00,0.0094,-96.94,0.00000080,-95.01
Function X,0.5875,0.0877,- 26.62,- 84.42,13265907,11.36 MM,620.18 K,13936316,7,8.00,0.8470,-89.65,0.0001,-88.29
Aladdin,0.0010,0.0004,0.5324,- 63.47,13241147,11.05 MM,5.98 MM,4811317,5,8.00,0.0012,-70.65,0.00000010,-50.48
Request,0.0585,0.0140,8.07,- 76.50,11305354,11.00 MM,344.78 K,366483,25,50.00,1.03,-98.64,0.00006559,-97.13
Bibox Token,0.5692,0.1025,- 22.31,- 82.21,13872053,10.93 MM,1.16 MM,3107106,23,33.00,3.70,-97.23,0.0003,-94.52
SingularityNET,0.5393,0.0203,- 12.44,- 96.33,11276388,10.93 MM,663.99 K,442492,22,42.00,1.07,-98.10,0.00008971,-96.97
Polis,17.54,1.23,30.54,- 91.87,10804574,10.87 MM,22.90 K,66447,23,33.00,55.78,-97.80,0.0043,-96.16
Elitium,1.07,1.13,- 5.09,4.74,10685374,10.86 MM,141.05 K,131751,6,25.00,1.73,-35.03,0.0002,-1.56
RealTract,0.0003,0.0010,- 22.07,184.91,9898994,10.85 MM,24.03 K,123554,15,33.00,0.0065,-84.17,0.00000057,-75.24
Apollo Currency,0.0020,0.0007,- 7.77,- 58.84,15178867,10.75 MM,485.76 K,484005,16,50.00,0.0036,-79.73,0.00000097,-89.65
IRISnet,0.1262,0.0223,- 3.29,- 81.04,11065772,10.74 MM,4.61 MM,30438933,8,17.00,0.1147,-80.56,0.00002174,-86.25
THORChain,0.0172,0.0924,69.10,453.14,5747280,10.68 MM,151.41 K,271397,4,25.00,0.0999,-7.49,0.00001370,-9.40
Tael,1.39,0.1613,- 5.64,- 88.06,12164116,10.64 MM,213.98 K,924558,24,50.00,5.39,-97.01,0.0004,-94.13
