Name,MC #,Symbol,Price,BTC,1h,24h,7d,14d,30d,45d,90d,200d,Mkt. Cap
Crypto Harbor Exchange,1636,,CHE,0.00006984,0.00000001,0.59,12.74,-36.07,94.15,74.19,66.26,-57.78,
INMAX,392,,INX,1.87,0.00023549,-1.31,-5.07,-27.62,-42.60,,,,
GoHelpFund,1375,,HELP,0.0162,0.00000204,6.64,19.87,54.43,-58.75,-47.30,-63.59,-8.92,
Alchemint Standards,995,,SDS,0.0013,0.00000017,22.36,16.83,5.85,-44.54,-64.84,-38.96,-78.42,
Energo,789,,TSL,0.0019,0.00000024,2.02,-0.42,14.71,37.68,10.75,16.29,-53.35,-84.10
AiLink Token,819,,ALI,0.0004,0.00000005,12.09,-26.90,0.23,28.49,-0.81,-8.86,-65.24,
EZOOW,1436,,EZW,0.00000267,0.0000,0.00,10.88,71.84,14.44,-10.69,-10.56,-79.21,
Bitcloud,1255,,BTDX,0.0040,0.00000050,0.00,1.53,52.11,25.49,-14.03,-42.30,-71.01,-93.14
ATC Coin,644,,ATCC,0.0066,0.00000083,2.33,-2.10,14.97,-48.01,1.21,-13.79,-57.51,
Auroracoin,902,,AUR,0.0413,0.00000521,-0.12,-0.78,-29.94,-24.66,-49.44,-60.27,-72.76,-88.00
Mithril Ore,1051,,MORE,25.18,0.00317910,1.58,3.29,51.57,82.62,58.73,90.39,69.22,
Davinci Coin,202,,DAC,0.0056,0.00000070,-1.59,-3.90,-18.11,-12.04,-43.08,-49.61,-5.13,
WomenCoin,1219,,WOMEN,0.00000293,0.0000,0.79,10.25,-4.63,42.90,-21.38,-9.31,-31.50,-96.01
Steneum Coin,1511,,STN,0.0037,0.00000106,0.00,0.00000000,0.00000000,0.00,-62.66,-72.42,-90.30,-93.08
Rupee,1111,,RUP,0.0070,0.00000088,-0.13,-14.45,58.73,-51.44,-53.74,-53.32,-67.40,
Bitibu Coin,1169,,BTB,0.0410,0.00000518,-0.07,-10.30,-0.87,-33.69,-42.13,-47.75,-64.94,
Decentralized Asset Trading Platform,1399,,DATP,0.00000350,0.0000,-1.46,-5.44,19.51,36.32,7.58,2.66,-45.16,
Cheesecoin,1435,,CHEESE,0.00009480,0.00000001,15.80,-0.05,22.57,-7.53,-11.65,-17.37,-27.97,
FREE Coin,698,,FREE,0.00000020,0.0000,-1.10,82.32,121.56,-83.23,-70.16,49.20,-99.10,
NeosCoin,954,,NEOS,0.1228,0.00001550,-8.26,-5.10,37.50,-18.51,-16.37,-27.71,-57.13,
Graphcoin,1486,,GRPH,0.0022,0.00000028,0.00,0.00,267.48,10.21,-62.99,-79.43,-86.74,
eosBLACK,1635,,BLACK,0.0076,0.00000097,-0.23,1.49,-38.74,-51.15,-77.39,-79.78,-97.13,
Adzcoin,1333,,ADZ,0.0014,0.00000018,0.80,5.51,1.40,-15.54,-30.99,-58.98,-78.98,-89.65
Aston,437,,ATX,0.0064,0.00000080,-0.04,5.01,43.11,2.38,27.72,-17.16,-69.24,-82.82
Ergo,838,,EFYT,2.29,0.00028910,7.47,56.33,86.47,-0.32,11.03,-0.17,3.68,-26.41
Bitblocks,1393,,BBK,0.0004,0.00000005,-14.15,15.89,22.88,-33.71,-25.61,-43.93,-95.25,
ProCurrency,1153,,PROC,0.0018,0.00000023,-0.13,2.47,47.32,116.34,24.84,96.21,58.52,-38.61
IGToken,1118,,IG,0.0001,0.00000002,-4.21,19.40,21.78,237.16,114.68,105.11,-42.26,
4NEW,1113,,KWATT,0.0044,0.00000055,-0.30,16.16,30.06,51.89,-18.85,-72.24,-78.40,
Nasdacoin,524,,NSD,0.1809,0.00002284,-10.92,-11.36,-12.75,-65.48,-69.34,-76.91,-62.55,
Hydro Protocol,480,,HOT,0.0061,0.00000076,-0.03,-7.51,12.98,135.45,23.75,46.68,-30.06,-78.84
Block Array,1035,,ARY,0.0052,0.00000066,-0.70,2.34,-8.62,-55.19,-34.57,-40.07,-71.78,-88.49
SCRIV NETWORK,1361,,SCRIV,0.0023,0.00000029,-2.65,-32.99,-26.56,-60.77,-70.54,-33.19,-84.34,
Onix,1353,,ONX,0.0006,0.00000007,31.05,55.54,55.54,39.68,-7.98,-49.74,-28.52,-90.25
Ourcoin,1562,,OUR,0.0052,0.00000066,-0.12,-18.45,46.93,7.81,12.80,5.86,-86.42,
Traid,1409,,TRAID,0.0025,0.00000032,8.18,7.51,40.50,130.40,75.23,164.85,-28.33,
Waletoken,1381,,WTN,0.00000245,0.0000,1.56,0.47,28.60,4.35,-39.68,-47.18,-80.66,
Freicoin,1017,,FRC,0.0118,0.00000149,-0.11,-2.13,27.87,83.31,110.31,95.32,52.31,91.33
Adelphoi,1202,,ADL,0.0075,0.00000095,0.22,21.48,-22.56,-57.21,-73.46,-53.92,-84.51,
BitcoinFast,1322,,BCF,0.0040,0.00000117,0.00,0.00000000,0.00000000,0.00,-17.09,-27.13,-64.35,-50.12
Sparks,1440,,SPK,0.0057,0.00000165,-0.49,3.69,1.26,-10.51,-12.64,-8.87,-58.61,-96.25
