Name,Price,2% of Avg. YoY Bitcoin growth (2010-'16),10% of Avg. YoY Bitcoin growth (2010-'16),50% of Avg. Bitcoin YoY growth (2010-'16),Avg. YoY growth of The Internet (1995-2017),Avg. YoY growth of The Mobile Phone (1993-2013),Avg. YoY growth of Google (2000-'15),Avg. YoY growth of Facebook (2004-'16),4% Worldwide M0 money flows into the crypto market,4% Worldwide M1 money flows into the crypto market,4% Worldwide M2 money flows into the crypto market
Credo,0.0293,0.0427,0.0509,0.0915,0.0526,0.0521,0.0636,0.0903,0.0959,0.5389,1.36
Achain,0.0181,0.0069,0.0082,0.0147,0.0084,0.0084,0.0102,0.0145,0.0154,0.0864,0.2185
Raiden Network Token,0.3166,0.2151,0.2560,0.4604,0.2645,0.2623,0.3198,0.4546,0.4826,2.71,6.86
BitCapitalVendor,0.0193,0.0145,0.0172,0.0309,0.0178,0.0176,0.0215,0.0306,0.0324,0.1823,0.4610
Ripio Credit Network,0.0317,0.0110,0.0131,0.0236,0.0136,0.0134,0.0164,0.0233,0.0247,0.1390,0.3516
GoChain,0.0221,0.0190,0.0226,0.0406,0.0233,0.0231,0.0282,0.0401,0.0425,0.2390,0.6045
Ignis,0.0207,0.0154,0.0184,0.0330,0.0190,0.0188,0.0229,0.0326,0.0346,0.1945,0.4920
TTC Protocol,0.0838,0.0213,0.0254,0.0457,0.0262,0.0260,0.0317,0.0451,0.0479,0.2690,0.6804
Everipedia,0.0034,0.0023,0.0027,0.0049,0.0028,0.0028,0.0034,0.0049,0.0052,0.0290,0.0733
NAV Coin,0.2347,0.1571,0.1869,0.3362,0.1932,0.1915,0.2335,0.3319,0.3524,1.98,5.01
PLATINCOIN,21.81,17.40,20.70,37.23,21.39,21.21,25.86,36.76,39.02,219.31,554.65
Everus,0.0332,0.0488,0.0581,0.1045,0.0601,0.0595,0.0726,0.1032,0.1096,0.6157,1.56
Own,0.1900,0.2101,0.2500,0.4497,0.2584,0.2562,0.3123,0.4439,0.4713,2.65,6.70
Bitcoiin,0.2906,0.7762,0.9237,1.66,0.9544,0.9464,1.15,1.64,1.74,9.78,24.75
PressOne,0.0516,0.0322,0.0383,0.0688,0.0395,0.0392,0.0478,0.0679,0.0721,0.4054,1.03
OneRoot Network,0.0517,0.0758,0.0902,0.1622,0.0932,0.0924,0.1126,0.1601,0.1700,0.9552,2.42
Quantstamp,0.0236,0.0145,0.0172,0.0309,0.0178,0.0176,0.0215,0.0305,0.0324,0.1822,0.4609
Noah Coin,0.0004,0.0002,0.0002,0.0004,0.0002,0.0002,0.0003,0.0004,0.0004,0.0024,0.0062
VITE,0.0348,0.0166,0.0197,0.0354,0.0204,0.0202,0.0246,0.0350,0.0371,0.2087,0.5278
CyberVein,0.0136,0.0049,0.0058,0.0104,0.0060,0.0059,0.0073,0.0103,0.0109,0.0615,0.1556
SmartCash,0.0101,0.0095,0.0113,0.0202,0.0116,0.0115,0.0141,0.0200,0.0212,0.1192,0.3014
HYCON,0.0077,0.0094,0.0112,0.0201,0.0115,0.0114,0.0140,0.0198,0.0211,0.1184,0.2994
Request Network,0.0196,0.0206,0.0245,0.0441,0.0253,0.0251,0.0306,0.0435,0.0462,0.2597,0.6569
Genesis Vision,3.22,3.61,4.29,7.72,4.43,4.40,5.36,7.62,8.09,45.47,114.99
ost,0.0228,0.0192,0.0229,0.0411,0.0236,0.0234,0.0286,0.0406,0.0431,0.2422,0.6125
Time New Bank,0.0054,0.0028,0.0034,0.0061,0.0035,0.0034,0.0042,0.0060,0.0063,0.0357,0.0902
PayPie,0.1705,0.1011,0.1204,0.2164,0.1244,0.1233,0.1504,0.2137,0.2269,1.27,3.22
OpenAnx,0.2079,0.1252,0.1490,0.2681,0.1540,0.1527,0.1862,0.2646,0.2810,1.58,3.99
BitGuild PLAT,0.0022,0.0007,0.0008,0.0015,0.0009,0.0009,0.0010,0.0015,0.0016,0.0089,0.0225
Endor Protocol,0.0187,0.0293,0.0348,0.0626,0.0360,0.0357,0.0435,0.0618,0.0657,0.3689,0.9331
Streamr DATAcoin,0.0201,0.0179,0.0214,0.0384,0.0221,0.0219,0.0267,0.0379,0.0402,0.2262,0.5720
SaluS,13.43,9.60,11.43,20.56,11.81,11.71,14.28,20.29,21.55,121.09,306.23
Ruff,0.0139,0.0096,0.0114,0.0204,0.0117,0.0116,0.0142,0.0202,0.0214,0.1204,0.3046
Vitae,0.8715,0.5013,0.5966,1.07,0.6165,0.6113,0.7453,1.06,1.12,6.32,15.98
Moss Coin,0.0525,0.0381,0.0454,0.0816,0.0469,0.0465,0.0567,0.0805,0.0855,0.4805,1.22
Metronome,1.47,0.6833,0.8132,1.46,0.8403,0.8332,1.02,1.44,1.53,8.61,21.79
SafeInsure,5.35,3.23,3.84,6.91,3.97,3.94,4.80,6.83,7.25,40.73,103.00
Tripio,0.0038,0.0016,0.0019,0.0035,0.0020,0.0020,0.0024,0.0035,0.0037,0.0206,0.0521
Ethos,0.1314,0.1476,0.1756,0.3158,0.1815,0.1799,0.2194,0.3118,0.3310,1.86,4.70
ZClassic,1.94,0.7799,0.9281,1.67,0.9590,0.9509,1.16,1.65,1.75,9.83,24.87
Nucleus Vision,0.0022,0.0018,0.0021,0.0038,0.0022,0.0022,0.0026,0.0037,0.0040,0.0224,0.0566
MediShares,0.0119,0.0069,0.0082,0.0147,0.0084,0.0084,0.0102,0.0145,0.0154,0.0865,0.2186
Blocknet,2.19,2.00,2.38,4.27,2.45,2.43,2.97,4.22,4.48,25.16,63.64
Bluzelle,0.0612,0.0389,0.0463,0.0832,0.0478,0.0474,0.0578,0.0821,0.0872,0.4900,1.24
PumaPay,0.0006,0.0006,0.0007,0.0012,0.0007,0.0007,0.0009,0.0012,0.0013,0.0073,0.0185
BridgeCoin,0.4608,0.4236,0.5041,0.9066,0.5209,0.5165,0.6298,0.8951,0.9503,5.34,13.51
Egretia,0.0035,0.0004,0.0004,0.0008,0.0005,0.0004,0.0005,0.0008,0.0008,0.0046,0.0117
SIRIN LABS Token,0.0253,0.0283,0.0336,0.0605,0.0348,0.0345,0.0420,0.0597,0.0634,0.3563,0.9011
BLOCKv,0.0053,0.0056,0.0066,0.0119,0.0069,0.0068,0.0083,0.0118,0.0125,0.0703,0.1779
Humanscape,0.0003,0.0002,0.0002,0.0004,0.0002,0.0002,0.0003,0.0004,0.0004,0.0024,0.0061
Cube,0.0018,0.0023,0.0028,0.0050,0.0029,0.0028,0.0035,0.0049,0.0052,0.0294,0.0743
Numeraire,9.03,3.57,4.25,7.64,4.39,4.35,5.31,7.55,8.01,45.02,113.86
IHT Real Estate Protocol,0.0185,0.0112,0.0133,0.0240,0.0138,0.0137,0.0166,0.0237,0.0251,0.1412,0.3570
Crypterium,0.1430,0.1339,0.1594,0.2866,0.1647,0.1633,0.1991,0.2829,0.3004,1.69,4.27
Asch,0.1282,0.0561,0.0667,0.1200,0.0689,0.0683,0.0833,0.1184,0.1257,0.7066,1.79
B2BX,0.7111,0.2137,0.2543,0.4573,0.2627,0.2605,0.3176,0.4515,0.4793,2.69,6.81
Envion,0.1038,0.0764,0.0909,0.1635,0.0939,0.0931,0.1135,0.1614,0.1713,0.9629,2.44
DATA,0.0013,0.0007,0.0008,0.0015,0.0009,0.0009,0.0010,0.0015,0.0016,0.0088,0.0223
DigitalNote,0.0017,0.0010,0.0011,0.0021,0.0012,0.0012,0.0014,0.0020,0.0022,0.0121,0.0306
Stakenet,0.1370,0.0763,0.0908,0.1633,0.0938,0.0930,0.1134,0.1612,0.1712,0.9620,2.43
ParkinGo,0.8857,0.5286,0.6290,1.13,0.6500,0.6445,0.7858,1.12,1.19,6.66,16.85
Credits,0.0711,0.0595,0.0709,0.1274,0.0732,0.0726,0.0885,0.1258,0.1336,0.7507,1.90
SwftCoin,0.0031,0.0010,0.0012,0.0021,0.0012,0.0012,0.0015,0.0021,0.0022,0.0126,0.0318
Selfkey,0.0039,0.0027,0.0032,0.0058,0.0033,0.0033,0.0040,0.0057,0.0061,0.0342,0.0866
DxChain Token,0.0003,0.0002,0.0002,0.0004,0.0002,0.0002,0.0003,0.0004,0.0004,0.0025,0.0064
THEKEY,0.0022,0.0025,0.0029,0.0052,0.0030,0.0030,0.0036,0.0052,0.0055,0.0309,0.0782
VIBE,0.0432,0.0364,0.0433,0.0780,0.0448,0.0444,0.0542,0.0770,0.0817,0.4592,1.16
DeepBrain Chain,0.0035,0.0015,0.0018,0.0033,0.0019,0.0019,0.0023,0.0032,0.0034,0.0194,0.0489
Red Pulse,0.0135,0.0083,0.0099,0.0178,0.0102,0.0101,0.0123,0.0175,0.0186,0.1046,0.2645
Bit-Z Token,0.0991,0.0685,0.0815,0.1466,0.0842,0.0835,0.1018,0.1447,0.1536,0.8633,2.18
Boolberry,0.8928,0.6274,0.7466,1.34,0.7715,0.7650,0.9327,1.33,1.41,7.91,20.00
Fiii,0.0231,0.0201,0.0239,0.0430,0.0247,0.0245,0.0299,0.0425,0.0451,0.2535,0.6411
Propy,0.1953,0.1134,0.1350,0.2427,0.1395,0.1383,0.1686,0.2397,0.2544,1.43,3.62
Scry.info,0.0252,0.0188,0.0224,0.0403,0.0232,0.0230,0.0280,0.0398,0.0423,0.2376,0.6009
bitCNY,0.1447,0.1627,0.1936,0.3482,0.2001,0.1984,0.2419,0.3438,0.3650,2.05,5.19
United Traders Token,0.2928,0.2237,0.2662,0.4787,0.2750,0.2727,0.3325,0.4726,0.5018,2.82,7.13
IoT Chain,0.1529,0.1006,0.1197,0.2152,0.1237,0.1226,0.1495,0.2125,0.2256,1.27,3.21
EvenCoin,0.4923,0.3773,0.4490,0.8075,0.4640,0.4601,0.5610,0.7973,0.8464,4.76,12.03
Emercoin,0.2446,0.2824,0.3361,0.6044,0.3473,0.3443,0.4198,0.5967,0.6335,3.56,9.00
Pepe Cash,0.0152,0.0032,0.0038,0.0068,0.0039,0.0039,0.0047,0.0067,0.0072,0.0402,0.1017
Ubiq,0.2503,0.1755,0.2089,0.3756,0.2158,0.2140,0.2609,0.3708,0.3937,2.21,5.60
FOAM,0.0376,0.0264,0.0314,0.0565,0.0324,0.0322,0.0392,0.0558,0.0592,0.3327,0.8413
Peercoin,0.4105,0.5350,0.6367,1.15,0.6579,0.6524,0.7954,1.13,1.20,6.74,17.06
DMarket,0.2066,0.2129,0.2534,0.4557,0.2618,0.2596,0.3165,0.4499,0.4776,2.68,6.79
Spectrecoin,0.4614,0.1610,0.1915,0.3445,0.1979,0.1963,0.2393,0.3401,0.3611,2.03,5.13
Insolar,0.3181,0.2793,0.3323,0.5977,0.3434,0.3405,0.4152,0.5901,0.6265,3.52,8.90
AdEx,0.1405,0.0966,0.1150,0.2067,0.1188,0.1178,0.1436,0.2041,0.2167,1.22,3.08
ZIP,0.0006,0.0004,0.0005,0.0009,0.0005,0.0005,0.0006,0.0009,0.0009,0.0051,0.0129
smARTOFGIVING,0.1772,0.1279,0.1522,0.2737,0.1573,0.1559,0.1901,0.2702,0.2869,1.61,4.08
Edgeless,0.0872,0.1527,0.1817,0.3268,0.1878,0.1862,0.2270,0.3226,0.3425,1.92,4.87
Electra,0.0004,0.0003,0.0003,0.0006,0.0003,0.0003,0.0004,0.0006,0.0006,0.0034,0.0087
Tokenomy,0.0505,0.0646,0.0769,0.1383,0.0795,0.0788,0.0961,0.1365,0.1449,0.8146,2.06
Agrello,0.1172,0.1133,0.1348,0.2425,0.1393,0.1381,0.1684,0.2394,0.2541,1.43,3.61
Content Value Network,0.0229,0.0143,0.0170,0.0306,0.0176,0.0174,0.0212,0.0302,0.0320,0.1800,0.4552
OriginTrail,0.0350,0.0198,0.0235,0.0423,0.0243,0.0241,0.0294,0.0418,0.0444,0.2494,0.6306
Kcash,0.0223,0.0045,0.0054,0.0097,0.0056,0.0055,0.0067,0.0096,0.0102,0.0571,0.1445
SALT,0.1228,0.2148,0.2557,0.4598,0.2642,0.2620,0.3194,0.4539,0.4819,2.71,6.85
district0x,0.0164,0.0109,0.0129,0.0232,0.0133,0.0132,0.0161,0.0229,0.0243,0.1368,0.3459
Gulden,0.0230,0.0189,0.0225,0.0405,0.0233,0.0231,0.0281,0.0400,0.0424,0.2385,0.6033
Melon,8.27,7.68,9.14,16.44,9.45,9.37,11.42,16.24,17.24,96.87,244.98
EthLend,0.0088,0.0074,0.0088,0.0159,0.0091,0.0091,0.0111,0.0157,0.0167,0.0937,0.2370
Medibloc,0.0033,0.0020,0.0024,0.0044,0.0025,0.0025,0.0030,0.0043,0.0046,0.0257,0.0650
Bezant,0.0165,0.0239,0.0285,0.0512,0.0294,0.0292,0.0356,0.0505,0.0537,0.3016,0.7628
LockTrip,0.6518,0.9777,1.16,2.09,1.20,1.19,1.45,2.07,2.19,12.33,31.17
APIS,0.0020,0.0017,0.0020,0.0037,0.0021,0.0021,0.0025,0.0036,0.0038,0.0216,0.0546
Substratum,0.0252,0.0427,0.0508,0.0914,0.0525,0.0521,0.0635,0.0902,0.0958,0.5382,1.36
Pillar,0.0371,0.0340,0.0405,0.0728,0.0418,0.0415,0.0506,0.0719,0.0763,0.4287,1.08
SONM,0.0268,0.0188,0.0224,0.0403,0.0232,0.0230,0.0280,0.0398,0.0422,0.2374,0.6003
NIX,0.2219,0.1562,0.1858,0.3342,0.1920,0.1904,0.2322,0.3300,0.3503,1.97,4.98
RChain,0.0255,0.0283,0.0337,0.0606,0.0348,0.0345,0.0421,0.0599,0.0636,0.3572,0.9033
BitBay,0.0094,0.0069,0.0082,0.0147,0.0085,0.0084,0.0102,0.0145,0.0154,0.0867,0.2193
Cashbery Coin,0.1433,0.0820,0.0976,0.1756,0.1009,0.1000,0.1219,0.1733,0.1840,1.03,2.62
SingularDTV,0.0157,0.0118,0.0141,0.0254,0.0146,0.0144,0.0176,0.0250,0.0266,0.1493,0.3777
BOX Token,0.0941,0.0510,0.0607,0.1092,0.0628,0.0622,0.0759,0.1078,0.1145,0.6434,1.63
All Sports,0.0062,0.0036,0.0043,0.0078,0.0045,0.0044,0.0054,0.0077,0.0081,0.0457,0.1155
Game.com,0.0121,0.0191,0.0227,0.0409,0.0235,0.0233,0.0284,0.0404,0.0429,0.2408,0.6090
Lympo,0.0111,0.0064,0.0076,0.0137,0.0079,0.0078,0.0095,0.0135,0.0144,0.0807,0.2042
QLC Chain,0.0383,0.0228,0.0272,0.0489,0.0281,0.0279,0.0340,0.0483,0.0513,0.2880,0.7285
Beam,0.4866,1.52,1.80,3.24,1.86,1.85,2.25,3.20,3.40,19.11,48.34
Linda,0.0007,0.0003,0.0004,0.0007,0.0004,0.0004,0.0005,0.0007,0.0008,0.0043,0.0108
Steem Dollars,1.02,0.9044,1.08,1.94,1.11,1.10,1.34,1.91,2.03,11.40,28.84
TaaS,1.11,0.2822,0.3358,0.6039,0.3470,0.3440,0.4195,0.5962,0.6330,3.56,9.00
BitNewChain,0.0501,0.0214,0.0254,0.0458,0.0263,0.0261,0.0318,0.0452,0.0480,0.2695,0.6816
Synthetix Network Token,0.0992,0.0414,0.0493,0.0887,0.0510,0.0505,0.0616,0.0875,0.0929,0.5224,1.32
Elite,0.0003,0.00001771,0.00002108,0.00003791,0.00002178,0.00002160,0.00002633,0.00003742,0.00003973,0.0002,0.0006
Ecobit,0.0198,0.0053,0.0063,0.0114,0.0065,0.0065,0.0079,0.0112,0.0119,0.0671,0.1697
Presearch,0.0564,0.0279,0.0332,0.0597,0.0343,0.0340,0.0415,0.0589,0.0626,0.3516,0.8891
Tierion,0.0200,0.0145,0.0172,0.0309,0.0178,0.0176,0.0215,0.0305,0.0324,0.1822,0.4607
ZrCoin,2.11,1.69,2.01,3.61,2.08,2.06,2.51,3.57,3.79,21.29,53.84
LBRY Credits,0.0362,0.0224,0.0267,0.0480,0.0276,0.0274,0.0334,0.0474,0.0503,0.2829,0.7154
PRIZM,0.1601,0.1578,0.1877,0.3376,0.1940,0.1924,0.2345,0.3333,0.3539,1.99,5.03
GameCredits,0.1177,0.0874,0.1040,0.1870,0.1074,0.1065,0.1299,0.1846,0.1960,1.10,2.79
Viberate,0.0440,0.0236,0.0281,0.0505,0.0290,0.0287,0.0350,0.0498,0.0529,0.2972,0.7517
Refereum,0.0022,0.0019,0.0023,0.0041,0.0024,0.0024,0.0029,0.0041,0.0043,0.0243,0.0615
DAOstack,0.1972,0.1077,0.1281,0.2305,0.1324,0.1313,0.1601,0.2275,0.2416,1.36,3.43
BitTube,0.0556,0.0214,0.0255,0.0458,0.0263,0.0261,0.0318,0.0452,0.0480,0.2696,0.6820
LEOcoin,0.0670,0.0874,0.1041,0.1872,0.1075,0.1066,0.1300,0.1848,0.1962,1.10,2.79
SDChain,0.0054,0.0046,0.0054,0.0098,0.0056,0.0056,0.0068,0.0097,0.0103,0.0577,0.1460
Aeron,0.4109,0.2701,0.3214,0.5781,0.3321,0.3293,0.4015,0.5707,0.6059,3.41,8.61
CPChain,0.0210,0.0144,0.0172,0.0309,0.0178,0.0176,0.0215,0.0305,0.0324,0.1821,0.4606
Monetha,0.0225,0.0164,0.0195,0.0351,0.0202,0.0200,0.0244,0.0347,0.0368,0.2070,0.5234
Primalbase Token,6102.87,2989.46,3557.55,6397.97,3676.04,3645.01,4444.28,6316.48,6706.11,37687.24,95313.75
CoinUs,0.0224,0.0351,0.0418,0.0751,0.0432,0.0428,0.0522,0.0742,0.0787,0.4425,1.12
Pascal Coin,0.2885,0.1922,0.2287,0.4113,0.2363,0.2343,0.2857,0.4060,0.4311,2.42,6.13
AppCoins,0.0757,0.0431,0.0513,0.0922,0.0530,0.0525,0.0640,0.0910,0.0966,0.5431,1.37
Primecoin,0.2735,0.1436,0.1709,0.3074,0.1766,0.1751,0.2135,0.3035,0.3222,1.81,4.58
Jibrel Network,0.0441,0.0344,0.0410,0.0736,0.0423,0.0420,0.0512,0.0727,0.0772,0.4338,1.10
Safe Exchange Coin,0.0048,0.0051,0.0060,0.0109,0.0062,0.0062,0.0075,0.0107,0.0114,0.0639,0.1617
Incent,0.1618,0.0413,0.0491,0.0884,0.0508,0.0503,0.0614,0.0872,0.0926,0.5205,1.32
Loki,0.2049,0.1562,0.1858,0.3342,0.1920,0.1904,0.2322,0.3300,0.3503,1.97,4.98
DEX,0.0388,0.0416,0.0495,0.0890,0.0511,0.0507,0.0618,0.0879,0.0933,0.5243,1.33
POA Network,0.0307,0.0268,0.0319,0.0573,0.0329,0.0326,0.0398,0.0566,0.0601,0.3376,0.8537
AurumCoin,24.49,5.61,6.68,12.01,6.90,6.84,8.35,11.86,12.59,70.77,178.98
Internet Node Token,0.0258,0.0133,0.0159,0.0285,0.0164,0.0163,0.0198,0.0282,0.0299,0.1681,0.4251
Hydrogen,0.0017,0.0016,0.0019,0.0033,0.0019,0.0019,0.0023,0.0033,0.0035,0.0196,0.0496
Waves Community Token,0.7246,0.7187,0.8553,1.54,0.8838,0.8763,1.07,1.52,1.61,9.06,22.91
Restart Energy,0.0159,0.0168,0.0200,0.0361,0.0207,0.0205,0.0250,0.0356,0.0378,0.2124,0.5372
Legolas Exchange,0.0551,0.0370,0.0440,0.0791,0.0455,0.0451,0.0550,0.0781,0.0829,0.4661,1.18
Aeon,0.4547,0.2717,0.3233,0.5814,0.3341,0.3313,0.4039,0.5740,0.6094,3.42,8.66
FirstBlood,0.0840,0.0230,0.0273,0.0492,0.0283,0.0280,0.0342,0.0485,0.0515,0.2897,0.7326
Sphere,0.5691,0.4467,0.5316,0.9560,0.5493,0.5447,0.6641,0.9438,1.00,5.63,14.24
Dero,0.9727,0.7374,0.8775,1.58,0.9067,0.8991,1.10,1.56,1.65,9.30,23.51
eosDAC,0.0107,0.0054,0.0064,0.0115,0.0066,0.0066,0.0080,0.0114,0.0121,0.0680,0.1719
Spendcoin,0.0423,0.6915,0.8229,1.48,0.8503,0.8431,1.03,1.46,1.55,8.72,22.05
Aencoin,0.0271,0.0155,0.0184,0.0331,0.0190,0.0189,0.0230,0.0327,0.0347,0.1950,0.4931
Swarm,0.0870,0.1218,0.1449,0.2606,0.1497,0.1485,0.1810,0.2573,0.2732,1.54,3.88
Loopring [NEO],0.0614,0.0710,0.0845,0.1519,0.0873,0.0865,0.1055,0.1500,0.1592,0.8947,2.26
COVA,0.0041,0.0014,0.0017,0.0030,0.0017,0.0017,0.0021,0.0029,0.0031,0.0176,0.0444
Ternio,0.0208,0.0090,0.0107,0.0193,0.0111,0.0110,0.0134,0.0190,0.0202,0.1134,0.2869
CommerceBlock,0.0397,0.0180,0.0214,0.0384,0.0221,0.0219,0.0267,0.0379,0.0403,0.2264,0.5725
Trade Token X,0.0795,0.0630,0.0749,0.1347,0.0774,0.0768,0.0936,0.1330,0.1412,0.7937,2.01
Content Neutrality Network,0.0002,0.0001,0.0001,0.0002,0.0001,0.0001,0.0002,0.0002,0.0003,0.0014,0.0037
WePower,0.0113,0.0122,0.0145,0.0262,0.0150,0.0149,0.0182,0.0258,0.0274,0.1541,0.3897
PCHAIN,0.0122,0.0060,0.0072,0.0129,0.0074,0.0074,0.0090,0.0127,0.0135,0.0760,0.1922
Cajutel,10.44,1.27,1.51,2.72,1.56,1.55,1.89,2.68,2.85,16.00,40.46
DecentBet,0.0351,0.0247,0.0294,0.0528,0.0303,0.0301,0.0367,0.0521,0.0553,0.3110,0.7865
Burst,0.0032,0.0038,0.0045,0.0081,0.0047,0.0046,0.0056,0.0080,0.0085,0.0478,0.1209
Grid+,0.1671,0.0916,0.1091,0.1961,0.1127,0.1117,0.1362,0.1936,0.2056,1.16,2.92
BlackCoin,0.1041,0.0598,0.0711,0.1279,0.0735,0.0729,0.0888,0.1263,0.1341,0.7534,1.91
Zebi,0.0104,0.0049,0.0058,0.0105,0.0060,0.0060,0.0073,0.0103,0.0110,0.0616,0.1557
Etherparty,0.0091,0.0076,0.0090,0.0163,0.0094,0.0093,0.0113,0.0161,0.0171,0.0959,0.2424
YOYOW,0.0215,0.0141,0.0167,0.0301,0.0173,0.0171,0.0209,0.0297,0.0315,0.1772,0.4483
CanonChain,0.0120,0.0080,0.0095,0.0171,0.0098,0.0098,0.0119,0.0169,0.0179,0.1009,0.2551
INMAX,1.87,3.04,3.62,6.52,3.74,3.71,4.53,6.43,6.83,38.39,97.08
IPChain,0.0820,0.0876,0.1042,0.1875,0.1077,0.1068,0.1302,0.1851,0.1965,1.10,2.79
Morpheus Network,0.2030,0.1048,0.1248,0.2244,0.1289,0.1278,0.1559,0.2215,0.2352,1.32,3.34
MassGrid,0.0866,0.0357,0.0425,0.0764,0.0439,0.0435,0.0531,0.0755,0.0801,0.4502,1.14
Darico Ecosystem Coin,0.1222,0.0680,0.0809,0.1456,0.0836,0.0829,0.1011,0.1437,0.1526,0.8574,2.17
Nimiq,0.0016,0.0006,0.0007,0.0012,0.0007,0.0007,0.0008,0.0012,0.0013,0.0071,0.0180
Blox,0.0093,0.0074,0.0088,0.0159,0.0091,0.0090,0.0110,0.0157,0.0166,0.0935,0.2364
Rubycoin,0.2292,0.0725,0.0862,0.1551,0.0891,0.0884,0.1077,0.1531,0.1626,0.9137,2.31
Universa,0.0033,0.0046,0.0055,0.0098,0.0057,0.0056,0.0068,0.0097,0.0103,0.0580,0.1467
Genaro Network,0.0253,0.0163,0.0193,0.0348,0.0200,0.0198,0.0242,0.0343,0.0365,0.2049,0.5183
Ambrosus,0.0423,0.0514,0.0612,0.1100,0.0632,0.0627,0.0764,0.1086,0.1153,0.6479,1.64
Lunyr,2.66,1.66,1.98,3.55,2.04,2.02,2.47,3.51,3.73,20.94,52.95
Turtlecoin,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0002,0.0002,0.0003,0.0014,0.0036
Modum,0.2867,0.3010,0.3582,0.6443,0.3702,0.3671,0.4475,0.6361,0.6753,3.80,9.60
DeepOnion,0.3757,0.1596,0.1900,0.3417,0.1963,0.1947,0.2373,0.3373,0.3581,2.01,5.09
Mobius,0.0116,0.0100,0.0119,0.0214,0.0123,0.0122,0.0149,0.0212,0.0225,0.1262,0.3192
STACS,0.0117,0.0184,0.0219,0.0393,0.0226,0.0224,0.0273,0.0388,0.0412,0.2315,0.5856
HalalChain,0.0154,0.0122,0.0145,0.0260,0.0150,0.0148,0.0181,0.0257,0.0273,0.1534,0.3880
QunQun,0.0093,0.0031,0.0036,0.0066,0.0038,0.0037,0.0046,0.0065,0.0069,0.0386,0.0977
Stealth,0.1852,0.0833,0.0991,0.1783,0.1024,0.1016,0.1238,0.1760,0.1869,1.05,2.66
Penta,0.0003,0.0002,0.0002,0.0004,0.0002,0.0002,0.0003,0.0004,0.0004,0.0024,0.0062
Zeepin,0.0118,0.0056,0.0067,0.0120,0.0069,0.0068,0.0083,0.0118,0.0126,0.0706,0.1785
Dock,0.0131,0.0084,0.0101,0.0181,0.0104,0.0103,0.0126,0.0179,0.0190,0.1065,0.2694
Litecoin Cash,0.0094,0.0232,0.0276,0.0496,0.0285,0.0282,0.0344,0.0489,0.0520,0.2920,0.7385
Napoleon X,0.2671,0.2056,0.2447,0.4401,0.2529,0.2507,0.3057,0.4345,0.4613,2.59,6.56
Cryptaur,0.0008,0.0009,0.0011,0.0019,0.0011,0.0011,0.0013,0.0019,0.0020,0.0113,0.0287
ContentBox,0.0068,0.0021,0.0025,0.0045,0.0026,0.0026,0.0031,0.0044,0.0047,0.0265,0.0670
Namecoin,0.3885,0.6627,0.7886,1.42,0.8149,0.8080,0.9852,1.40,1.49,8.35,21.13
Bottos,0.0105,0.0112,0.0133,0.0240,0.0138,0.0136,0.0166,0.0236,0.0251,0.1411,0.3568
Machine Xchange Coin,0.0071,0.0094,0.0112,0.0201,0.0115,0.0114,0.0139,0.0198,0.0210,0.1182,0.2989
Effect.AI,0.0226,0.0050,0.0060,0.0108,0.0062,0.0061,0.0075,0.0106,0.0113,0.0634,0.1604
Paragon,0.0873,0.0970,0.1154,0.2075,0.1192,0.1182,0.1441,0.2049,0.2175,1.22,3.09
Mercury,0.0565,0.0411,0.0489,0.0880,0.0506,0.0501,0.0611,0.0869,0.0922,0.5184,1.31
Fortuna,0.0118,0.0079,0.0094,0.0168,0.0097,0.0096,0.0117,0.0166,0.0176,0.0991,0.2507
Seele,0.0082,0.0031,0.0036,0.0066,0.0038,0.0037,0.0046,0.0065,0.0069,0.0387,0.0978
MARK.SPACE,0.0073,0.0048,0.0057,0.0102,0.0058,0.0058,0.0071,0.0100,0.0107,0.0600,0.1516
DECENT,0.1084,0.0485,0.0577,0.1037,0.0596,0.0591,0.0720,0.1024,0.1087,0.6109,1.55
Measurable Data Token,0.0106,0.0039,0.0046,0.0083,0.0048,0.0047,0.0057,0.0082,0.0087,0.0487,0.1232
XtraBYtes,0.0128,0.0090,0.0107,0.0193,0.0111,0.0110,0.0134,0.0191,0.0202,0.1137,0.2875
Travala,0.1389,0.1521,0.1810,0.3255,0.1870,0.1855,0.2261,0.3214,0.3412,1.92,4.85
Polis,0.8579,1.03,1.23,2.21,1.27,1.26,1.53,2.18,2.32,13.01,32.91
Beetle Coin,0.0293,0.0039,0.0046,0.0083,0.0047,0.0047,0.0057,0.0082,0.0087,0.0487,0.1232
Feathercoin,0.0229,0.0138,0.0164,0.0296,0.0170,0.0169,0.0205,0.0292,0.0310,0.1743,0.4407
Business Credit Alliance Chain,0.0073,0.0028,0.0033,0.0059,0.0034,0.0034,0.0041,0.0058,0.0062,0.0347,0.0878
BlockMason Credit Protocol,0.0466,0.0298,0.0355,0.0638,0.0366,0.0363,0.0443,0.0630,0.0668,0.3757,0.9501
doc.com Token,0.0081,0.0087,0.0104,0.0187,0.0107,0.0106,0.0130,0.0185,0.0196,0.1101,0.2784
QChi,0.1812,0.1850,0.2202,0.3960,0.2275,0.2256,0.2751,0.3910,0.4151,2.33,5.90
